,location,cases,Rate,date
266,Los Angeles - Westlake,406.0,684.02,2020-05-12 19:13:21.155291
267,Los Angeles - Westwood,58.0,107.19,2020-05-12 19:13:21.155291
268,Los Angeles - Wholesale District,267.0,739.02,2020-05-12 19:13:21.155291
269,Los Angeles - Wilmington,133.0,235.45,2020-05-12 19:13:21.155291
270,Los Angeles - Wilshire Center,155.0,308.95,2020-05-12 19:13:21.155291
271,Los Angeles - Winnetka,213.0,411.31,2020-05-12 19:13:21.155291
272,Los Angeles - Woodland Hills,132.0,193.96,2020-05-12 19:13:21.155291
273,Unincorporated - Acton,8.0,100.36,2020-05-12 19:13:21.155291
274,Unincorporated - Agua Dulce,3.0,72.15,2020-05-12 19:13:21.155291
275,Unincorporated - Altadena,105.0,240.72,2020-05-12 19:13:21.155291
276,Unincorporated - Anaverde,1.0,66.31,2020-05-12 19:13:21.155291
277,Unincorporated - Angeles National Forest,0.0,0.0,2020-05-12 19:13:21.155291
278,Unincorporated - Arcadia,4.0,50.12,2020-05-12 19:13:21.155291
279,Unincorporated - Athens-Westmont,141.0,332.22,2020-05-12 19:13:21.155291
280,Unincorporated - Athens Village,20.0,408.41,2020-05-12 19:13:21.155291
281,Unincorporated - Avocado Heights,14.0,206.64,2020-05-12 19:13:21.155291
282,Unincorporated - Azusa,34.0,213.53,2020-05-12 19:13:21.155291
283,Unincorporated - Bassett,39.0,263.21,2020-05-12 19:13:21.155291
284,Unincorporated - Bouquet Canyon,0.0,0.0,2020-05-12 19:13:21.155291
285,Unincorporated - Bradbury,0.0,0.0,2020-05-12 19:13:21.155291
286,Unincorporated - Canyon Country,28.0,362.32,2020-05-12 19:13:21.155291
287,Unincorporated - Castaic,209.0,768.64,2020-05-12 19:13:21.155291
288,Unincorporated - Cerritos,0.0,0.0,2020-05-12 19:13:21.155291
289,Unincorporated - Charter Oak,0.0,0.0,2020-05-12 19:13:21.155291
290,Unincorporated - Claremont,0.0,0.0,2020-05-12 19:13:21.155291
291,Unincorporated - Covina,37.0,219.99,2020-05-12 19:13:21.155291
292,Unincorporated - Covina (Charter Oak),25.0,190.2,2020-05-12 19:13:21.155291
293,Unincorporated - Del Aire,11.0,250.4,2020-05-12 19:13:21.155291
294,Unincorporated - Del Rey,0.0,0.0,2020-05-12 19:13:21.155291
295,Unincorporated - Del Sur,2.0,82.82,2020-05-12 19:13:21.155291
296,Unincorporated - Desert View Highlands,4.0,160.45,2020-05-12 19:13:21.155291
297,Unincorporated - Duarte,10.0,225.84,2020-05-12 19:13:21.155291
298,Unincorporated - East Covina,0.0,0.0,2020-05-12 19:13:21.155291
299,Unincorporated - East La Mirada,9.0,170.07,2020-05-12 19:13:21.155291
300,Unincorporated - East Lancaster,0.0,0.0,2020-05-12 19:13:21.155291
301,Unincorporated - East Los Angeles,491.0,391.96,2020-05-12 19:13:21.155291
302,Unincorporated - East Pasadena,0.0,0.0,2020-05-12 19:13:21.155291
303,Unincorporated - East Rancho Dominguez,27.0,176.38,2020-05-12 19:13:21.155291
304,Unincorporated - East Whittier,6.0,113.08,2020-05-12 19:13:21.155291
305,Unincorporated - El Camino Village,14.0,159.25,2020-05-12 19:13:21.155291
306,Unincorporated - El Monte,0.0,0.0,2020-05-12 19:13:21.155291
307,Unincorporated - Elizabeth Lake,1.0,60.2,2020-05-12 19:13:21.155291
308,Unincorporated - Florence-Firestone,315.0,486.82,2020-05-12 19:13:21.155291
309,Unincorporated - Franklin Canyon,0.0,0.0,2020-05-12 19:13:21.155291
310,Unincorporated - Glendora,2.0,303.03,2020-05-12 19:13:21.155291
311,Unincorporated - Hacienda Heights,73.0,130.53,2020-05-12 19:13:21.155291
312,Unincorporated - Harbor Gateway,0.0,0.0,2020-05-12 19:13:21.155291
313,Unincorporated - Hawthorne,4.0,159.11,2020-05-12 19:13:21.155291
314,Unincorporated - Hi Vista,0.0,0.0,2020-05-12 19:13:21.155291
315,Unincorporated - Kagel/Lopez Canyons,2.0,141.64,2020-05-12 19:13:21.155291
316,Unincorporated - La Crescenta-Montrose,21.0,106.06,2020-05-12 19:13:21.155291
317,Unincorporated - La Habra Heights,0.0,0.0,2020-05-12 19:13:21.155291
318,Unincorporated - La Rambla,7.0,337.35,2020-05-12 19:13:21.155291
319,Unincorporated - La Verne,3.0,147.06,2020-05-12 19:13:21.155291
320,Unincorporated - Ladera Heights,17.0,240.42,2020-05-12 19:13:21.155291
321,Unincorporated - Lake Hughes,0.0,0.0,2020-05-12 19:13:21.155291
322,Unincorporated - Lake Los Angeles,25.0,192.4,2020-05-12 19:13:21.155291
