,location,cases,Unnamed: 2,date
189,Los Angeles - Palisades Highlands,,--,2020-03-31 15:02:43.233651
190,Los Angeles - Palms,25.0,55.36,2020-03-31 15:02:43.233651
191,Los Angeles - Panorama City,7.0,9.21,2020-03-31 15:02:43.233651
192,Los Angeles - Park La Brea,,--,2020-03-31 15:02:43.233651
193,Los Angeles - Pico-Union,7.0,16.43,2020-03-31 15:02:43.233651
194,Los Angeles - Playa Del Rey,,--,2020-03-31 15:02:43.233651
195,Los Angeles - Playa Vista,7.0,70.11,2020-03-31 15:02:43.233651
196,Los Angeles - Porter Ranch,8.0,24.09,2020-03-31 15:02:43.233651
197,Los Angeles - Rancho Park,,--,2020-03-31 15:02:43.233651
198,Los Angeles - Regent Square,,--,2020-03-31 15:02:43.233651
199,Los Angeles - Reseda,20.0,26.4,2020-03-31 15:02:43.233651
200,Los Angeles - Reseda Ranch,,--,2020-03-31 15:02:43.233651
201,Los Angeles - Reynier Village,,--,2020-03-31 15:02:43.233651
202,Los Angeles - San Pedro,14.0,17.99,2020-03-31 15:02:43.233651
203,Los Angeles - Shadow Hills,,--,2020-03-31 15:02:43.233651
204,Los Angeles - Sherman Oaks,33.0,38.84,2020-03-31 15:02:43.233651
205,Los Angeles - Silverlake,20.0,46.31,2020-03-31 15:02:43.233651
206,Los Angeles - South Carthay,8.0,75.5,2020-03-31 15:02:43.233651
207,Los Angeles - South Park,5.0,12.79,2020-03-31 15:02:43.233651
208,Los Angeles - St Elmo Village,0.0,0,2020-03-31 15:02:43.233651
209,Los Angeles - Studio City,18.0,84.1,2020-03-31 15:02:43.233651
210,Los Angeles - Sun Valley,8.0,14.49,2020-03-31 15:02:43.233651
211,Los Angeles - Sunland,5.0,24.38,2020-03-31 15:02:43.233651
212,Los Angeles - Sycamore Square,0.0,0,2020-03-31 15:02:43.233651
213,Los Angeles - Sylmar,25.0,30.21,2020-03-31 15:02:43.233651
214,Los Angeles - Tarzana,26.0,86.02,2020-03-31 15:02:43.233651
215,Los Angeles - Temple-Beaudry,10.0,25.65,2020-03-31 15:02:43.233651
216,Los Angeles - Thai Town,,--,2020-03-31 15:02:43.233651
217,Los Angeles - Toluca Lake,,--,2020-03-31 15:02:43.233651
218,Los Angeles - Toluca Terrace,0.0,0,2020-03-31 15:02:43.233651
219,Los Angeles - Toluca Woods,0.0,0,2020-03-31 15:02:43.233651
220,Los Angeles - Tujunga,5.0,17.75,2020-03-31 15:02:43.233651
