,location,cases,Rate**,date
309,Unincorporated - Harbor Gateway,0.0,0.0,2020-04-28 14:25:46.849676
310,Unincorporated - Hawthorne,4.0,159.11,2020-04-28 14:25:46.849676
311,Unincorporated - Hi Vista,0.0,0.0,2020-04-28 14:25:46.849676
312,Unincorporated - Kagel/Lopez Canyons,1.0,70.82,2020-04-28 14:25:46.849676
313,Unincorporated - La Crescenta-Montrose,16.0,80.8,2020-04-28 14:25:46.849676
314,Unincorporated - La Habra Heights,0.0,0.0,2020-04-28 14:25:46.849676
315,Unincorporated - La Rambla,6.0,289.16,2020-04-28 14:25:46.849676
316,Unincorporated - La Verne,1.0,49.02,2020-04-28 14:25:46.849676
317,Unincorporated - Ladera Heights,15.0,212.13,2020-04-28 14:25:46.849676
318,Unincorporated - Lake Hughes,0.0,0.0,2020-04-28 14:25:46.849676
319,Unincorporated - Lake Los Angeles,16.0,123.13,2020-04-28 14:25:46.849676
320,Unincorporated - Lake Manor,3.0,182.59,2020-04-28 14:25:46.849676
321,Unincorporated - Lakewood,0.0,0.0,2020-04-28 14:25:46.849676
322,Unincorporated - Lennox,41.0,181.88,2020-04-28 14:25:46.849676
323,Unincorporated - Leona Valley,1.0,57.11,2020-04-28 14:25:46.849676
324,Unincorporated - Littlerock,4.0,99.48,2020-04-28 14:25:46.849676
325,Unincorporated - Littlerock/Juniper Hills,1.0,77.1,2020-04-28 14:25:46.849676
326,Unincorporated - Littlerock/Pearblossom,6.0,168.11,2020-04-28 14:25:46.849676
327,Unincorporated - Llano,1.0,114.03,2020-04-28 14:25:46.849676
328,Unincorporated - Lynwood,0.0,,2020-04-28 14:25:46.849676
329,Unincorporated - Marina del Rey,11.0,116.88,2020-04-28 14:25:46.849676
330,Unincorporated - Miracle Mile,0.0,0.0,2020-04-28 14:25:46.849676
331,Unincorporated - Monrovia,6.0,154.6,2020-04-28 14:25:46.849676
332,Unincorporated - Newhall,0.0,0.0,2020-04-28 14:25:46.849676
333,Unincorporated - North Lancaster,1.0,83.47,2020-04-28 14:25:46.849676
334,Unincorporated - North Whittier,6.0,71.77,2020-04-28 14:25:46.849676
335,Unincorporated - Northeast San Gabriel,13.0,54.09,2020-04-28 14:25:46.849676
336,Unincorporated - Palmdale,2.0,237.53,2020-04-28 14:25:46.849676
337,Unincorporated - Palos Verdes Peninsula,0.0,0.0,2020-04-28 14:25:46.849676
338,Unincorporated - Pearblossom/Llano,2.0,102.25,2020-04-28 14:25:46.849676
339,Unincorporated - Pellissier Village,0.0,0.0,2020-04-28 14:25:46.849676
340,Unincorporated - Placerita Canyon,0.0,0.0,2020-04-28 14:25:46.849676
341,Unincorporated - Pomona,0.0,0.0,2020-04-28 14:25:46.849676
342,Unincorporated - Quartz Hill,26.0,201.46,2020-04-28 14:25:46.849676
343,Unincorporated - Rancho Dominguez,10.0,375.8,2020-04-28 14:25:46.849676
344,Unincorporated - Roosevelt,0.0,0.0,2020-04-28 14:25:46.849676
345,Unincorporated - Rosewood,3.0,233.28,2020-04-28 14:25:46.849676
346,Unincorporated - Rosewood/East Gardena,0.0,0.0,2020-04-28 14:25:46.849676
347,Unincorporated - Rosewood/West Rancho Dominguez,7.0,208.27,2020-04-28 14:25:46.849676
348,Unincorporated - Rowland Heights,46.0,90.16,2020-04-28 14:25:46.849676
349,Unincorporated - San Clemente Island,0.0,0.0,2020-04-28 14:25:46.849676
350,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0.0,0.0,2020-04-28 14:25:46.849676
351,Unincorporated - San Jose Hills,19.0,93.96,2020-04-28 14:25:46.849676
352,Unincorporated - San Pasqual,0.0,0.0,2020-04-28 14:25:46.849676
353,Unincorporated - Sand Canyon,0.0,0.0,2020-04-28 14:25:46.849676
354,Unincorporated - Santa Catalina Island,2.0,749.06,2020-04-28 14:25:46.849676
355,Unincorporated - Santa Monica Mountains,13.0,69.81,2020-04-28 14:25:46.849676
356,Unincorporated - Saugus,2.0,1290.32,2020-04-28 14:25:46.849676
357,Unincorporated - Saugus/Canyon Country,0.0,0.0,2020-04-28 14:25:46.849676
358,Unincorporated - South Antelope Valley,0.0,0.0,2020-04-28 14:25:46.849676
359,Unincorporated - South Edwards,0.0,,2020-04-28 14:25:46.849676
360,Unincorporated - South El Monte,1.0,55.71,2020-04-28 14:25:46.849676
361,Unincorporated - South San Gabriel,8.0,90.42,2020-04-28 14:25:46.849676
362,Unincorporated - South Whittier,63.0,106.38,2020-04-28 14:25:46.849676
363,Unincorporated - Southeast Antelope Valley,0.0,0.0,2020-04-28 14:25:46.849676
364,Unincorporated - Stevenson Ranch,16.0,76.31,2020-04-28 14:25:46.849676
365,Unincorporated - Sun Village,4.0,66.27,2020-04-28 14:25:46.849676
366,Unincorporated - Sunrise Village,1.0,77.16,2020-04-28 14:25:46.849676
367,Unincorporated - Twin Lakes/Oat Mountain,4.0,241.25,2020-04-28 14:25:46.849676
368,Unincorporated - Universal City,0.0,,2020-04-28 14:25:46.849676
369,Unincorporated - Val Verde,36.0,1087.94,2020-04-28 14:25:46.849676
370,Unincorporated - Valencia,4.0,130.21,2020-04-28 14:25:46.849676
371,Unincorporated - Valinda,27.0,115.53,2020-04-28 14:25:46.849676
372,Unincorporated - View Park/Windsor Hills,25.0,214.87,2020-04-28 14:25:46.849676
373,Unincorporated - Walnut,0.0,,2020-04-28 14:25:46.849676
374,Unincorporated - Walnut Park,41.0,253.98,2020-04-28 14:25:46.849676
375,Unincorporated - West Antelope Valley,2.0,132.36,2020-04-28 14:25:46.849676
376,Unincorporated - West Carson,56.0,253.55,2020-04-28 14:25:46.849676
377,Unincorporated - West Chatsworth,0.0,0.0,2020-04-28 14:25:46.849676
378,Unincorporated - West LA,18.0,1890.76,2020-04-28 14:25:46.849676
379,Unincorporated - West Puente Valley,15.0,152.52,2020-04-28 14:25:46.849676
380,Unincorporated - West Rancho Dominguez,2.0,147.17,2020-04-28 14:25:46.849676
381,Unincorporated - West Whittier/Los Nietos,31.0,115.13,2020-04-28 14:25:46.849676
382,Unincorporated - Westfield/Academy Hills,0.0,0.0,2020-04-28 14:25:46.849676
383,Unincorporated - Westhills,0.0,0.0,2020-04-28 14:25:46.849676
384,Unincorporated - White Fence Farms,2.0,54.3,2020-04-28 14:25:46.849676
385,Unincorporated - Whittier,4.0,105.71,2020-04-28 14:25:46.849676
386,Unincorporated - Whittier Narrows,0.0,0.0,2020-04-28 14:25:46.849676
387,Unincorporated - Willowbrook,42.0,120.3,2020-04-28 14:25:46.849676
388,Unincorporated - Wiseburn,5.0,82.96,2020-04-28 14:25:46.849676
389,- Under Investigation,1314.0,,2020-04-28 14:25:46.849676
